"intGlCode","varCompanyId","varTitle","txtContact","varWeb1","varWeb2","varWeb3","varEmailId","varContactName","Fk_Services","dtIssueDate","chrExpiry","dtRenewalDate","varIssueNote","varRenewalNote","FK_Status","intDisplayOrder","dtCreateDate","dtModifyDate","chrDelete","chrPublish","varMetaTitle","varMetaKeyword","varMetaDescription","PUserGlCode","varIpAddress"
"11","R6","Paramount Media Services","(Vibe FM, Spin FM)
Rankin's Plaza, 21 Eclipse Drive
PO Box 10236
Grand Cayman KY1-1002",,,,"kenny.rankin@paramountmedia.ky","Kenny Rankin, Manager","18,10,27","2003-12-11 00:00:00","Y","2009-02-28 00:00:00",,,"3","35","2014-12-03 16:00:53","2017-10-27 06:19:23","N","Y","Listing of Paramount Media Services - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Paramount Media Services which is located at (Vibe FM, Spin FM)
Rankin's Plaza, 21 Eclipse Drive
PO Box 10236
Grand Cayman KY1-1002","1","103.226.185.33"
"12","R5","ICCI","#595 Hirst Road
PO Box 136
Grand Cayman KY1-1501",,,,"drmarshall@icci.edu.ky","Dr. David Marshall, Ph.D., President of College","18,10,27","2003-12-11 00:00:00","Y","2009-02-28 00:00:00",,,"3","34","2014-12-03 16:05:49","2017-10-27 06:19:20","N","Y","Listing of ICCI - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of ICCI which is located at #595 Hirst Road
PO Box 136
Grand Cayman KY1-1501","1","103.226.185.33"
"13","R3","Cerentis Broadcasting Systems","(Ocean 95)
#38 Earth Close
PO Box 425
Grand Cayman KY1-1502",,,,"gregg_a@candw.ky","Gregg Anderson","18,10,27","2003-12-11 00:00:00","N","0000-00-00 00:00:00","Revoked 16 August 2007",,"5","32","2014-12-03 16:11:13","2017-10-27 06:12:00","N","Y","Listing of Cerentis Broadcasting Systems - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Cerentis Broadcasting Systems which is located at (Ocean 95)
#38 Earth Close
PO Box 425
Grand Cayman KY1-1502","1","103.226.185.33"
"14","R2","Hurleys Entertainment Corporation","(Z99 and Rooster 101)
Grand Harbour Suite 22
PO Box 30110
Grand Cayman KY1-1201",,,,"randymerren@hurleysgroup.com","Randy Merren, Director","18,10,27","2003-12-11 00:00:00","Y","2009-02-28 00:00:00",,,"3","31","2014-12-03 16:14:41","2017-10-27 06:11:54","N","Y","Listing of Hurleys Entertainment Corporation - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Hurleys Entertainment Corporation which is located at (Z99 and Rooster 101)
Grand Harbour Suite 22
PO Box 30110
Grand Cayman KY1-1201","1","103.226.185.33"
"15","R1","Radio Cayman","71C Elgin Avenue
PO Box 1110
Grand Cayman KY1-1102",,,,"norma.mcfield@gov.ky","Norma McField, Acting Director","18,10,27","2003-12-11 00:00:00","Y","2009-02-28 00:00:00",,,"3","30","2014-12-03 16:21:29","2017-10-27 06:11:43","N","Y","Listing of Radio Cayman - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Radio Cayman which is located at 71C Elgin Avenue
PO Box 1110
Grand Cayman KY1-1102","1","103.226.185.33"
"16","12","Blue Sky Communications","Grand Pavillion Commercial Centre
PO Box 31566
Grand Cayman KY1-1207",,,,"michael.stomps@bluesky.ky","Michael Stomps, Director","14","2003-12-18 00:00:00","N","0000-00-00 00:00:00","Surrendered",,"6","13","2014-12-03 16:26:03","2017-10-27 06:10:04","N","Y","Listing of Blue Sky Communications - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Blue Sky Communications which is located at Grand Pavillion Commercial Centre
PO Box 31566
Grand Cayman KY1-1207","1","103.226.185.33"
"17","13","Caycom Ltd","#91 Savannah Acres
PO Box 129
Grand Cayman KY1-1501",,,,"briggs-@candw.ky","Katherine Briggs","21","2004-01-23 00:00:00","N","0000-00-00 00:00:00",,,"1","14","2014-12-03 16:30:12","2017-10-27 06:10:09","N","Y","Listing of Caycom Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Caycom Ltd which is located at #91 Savannah Acres
PO Box 129
Grand Cayman KY1-1501","1","103.226.185.33"
"18","14","WestTel Limited (T/A Logic)","#45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205",,,,"rmcnabb@logic.ky","Rob McNabb, Chief Executive Officer","11,14,15,16,17,19,21,24,25,2,6,10,27","2004-02-12 00:00:00","N","0000-00-00 00:00:00",,,"1","15","2014-12-03 16:33:17","2017-10-27 06:10:14","N","Y","Listing of WestTel Limited (T/A Logic) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of WestTel Limited (T/A Logic) which is located at #45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205","1","103.226.185.33"
"19","15","Cayman Christian TV","PO Box 964
Grand Cayman KY1-1102",,,,,"Fred Rutty, Vice President","16,9,10,27","2004-04-22 00:00:00","N","0000-00-00 00:00:00",,,"1","16","2014-12-03 16:41:35","2017-10-27 06:10:19","N","Y","Listing of Cayman Christian TV - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Cayman Christian TV which is located at PO Box 964
Grand Cayman KY1-1102","1","103.226.185.33"
"20","16","Government of the Cayman Islands","Government Administration Building
Grand Cayman",,,,"pcw@gov.ky","Carson Ebanks, Permanent Secretary, PCDA&IT;","14,16,19,21,24,6,27","2004-05-10 00:00:00","N","0000-00-00 00:00:00",,,"1","17","2014-12-03 16:45:30","2017-10-27 06:10:25","N","Y","Listing of Government of the Cayman Islands - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Government of the Cayman Islands which is located at Government Administration Building
Grand Cayman","1","103.226.185.33"
"21","R7","Panorama Productions","(Style FM)
Island Electronics Building
PO Box 1059
Grand Cayman KY1-1102",,,,"martins@candw.ky","David Martins, Director","18,10,27","2004-06-03 00:00:00","N","0000-00-00 00:00:00","Assigned to #R8 - 22 Jun 2006",,"14","36","2014-12-03 16:50:02","2017-10-27 06:19:27","N","Y","Listing of Panorama Productions - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Panorama Productions which is located at (Style FM)
Island Electronics Building
PO Box 1059
Grand Cayman KY1-1102","1","103.226.185.33"
"22","R8","dms Broadcasting","(Hot,Kiss,Xfm & Cayrock)
38 Godfrey Nixon Way
PO Box 31910
Grand Cayman KY1-1208",,,,"dcharleston@dmsbroadcasting.ky","Dan Charleston, Marketing Manager","18,10,27","2004-07-15 00:00:00","Y","2009-10-08 00:00:00",,,"3","37","2014-12-03 16:53:28","2017-10-27 06:19:38","N","Y","Listing of dms Broadcasting - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of dms Broadcasting which is located at (Hot,Kiss,Xfm & Cayrock)
38 Godfrey Nixon Way
PO Box 31910
Grand Cayman KY1-1208","1","103.226.185.33"
"23","17","E-Technologies Limited","(T/A CaymanOne)
2nd Floor, Micro Centre, North Sound Road
PO Box 10615]
Grand Cayman KY1-1006",,,,"rkulkarni@caymanone.ky","Raghu Kulkarni, Chief Technical Officer","11,13,14,15,19,21,22,24,2,5,6,9,27","2004-07-22 00:00:00","N","0000-00-00 00:00:00","Assigned to #19",,"14","18","2014-12-03 17:02:25","2017-10-27 06:10:30","N","Y","Listing of E-Technologies Limited - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of E-Technologies Limited which is located at (T/A CaymanOne)
2nd Floor, Micro Centre, North Sound Road
PO Box 10615]
Grand Cayman KY1-1006","1","103.226.185.33"
"24","18","Infinity Broadband Ltd (T/A C3)","409 Walkers Road 
Box 30110 
George Town 
Grand Cayman, KY1-1201","http://www.c3.ky",,,"randymerren@c3.ky","Randy Merren, Director","15,16,17,19,1,6,9,10,27","2004-12-13 00:00:00","N","0000-00-00 00:00:00",,,"1","19","2014-12-03 17:06:44","2017-10-27 06:10:38","N","Y","Listing of Infinity Broadband Ltd (T/A C3) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Infinity Broadband Ltd (T/A C3) which is located at 409 Walkers Road 
Box 30110 
George Town 
Grand Cayman, KY1-1201","1","103.226.185.33"
"25","19","Blue Sky Wireless","PO Box 32336
Grand Cayman KY1-1209",,,,"gene@thompson.com.ky","Gene Thompson, Director","19,21,22,24,25,2,3","2005-08-11 00:00:00","N","0000-00-00 00:00:00","Revoked 30 June 2009",,"5","20","2014-12-03 17:13:48","2017-10-27 06:10:44","N","Y","Listing of Blue Sky Wireless - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Blue Sky Wireless which is located at PO Box 32336
Grand Cayman KY1-1209","1","103.226.185.33"
"26","20","Cayman Adventist TV Network","(Seven-Day Adventist)
PO Box 515
Grand Cayman KY1-1106",,,,"mission@candw.ky","Jeffrey Thompson, President","16,10,27","2006-06-15 00:00:00","N","0000-00-00 00:00:00","Renamed and Reissued as #24",,"2","21","2014-12-03 17:18:28","2017-10-27 06:10:49","N","Y","Listing of Cayman Adventist TV Network - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Cayman Adventist TV Network which is located at (Seven-Day Adventist)
PO Box 515
Grand Cayman KY1-1106","1","103.226.185.33"
"27","24","C.I. Conference of Seventh-Day Adventists","209 Walkers Road
PO Box 515
Grand Cayman KY1-1106","http://www.cicsda.org",,,"patricia.ebanks@cicsda.org","Patricia Ebanks","16,18,10,27","2006-06-15 00:00:00","N","0000-00-00 00:00:00","Consolidated 6 March 2008",,"14","25","2014-12-03 17:20:47","2017-10-27 06:11:24","N","Y","Listing of C.I. Conference of Seventh-Day Adventists - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of C.I. Conference of Seventh-Day Adventists which is located at 209 Walkers Road
PO Box 515
Grand Cayman KY1-1106","1","103.226.185.33"
"28","R9","Mr Everton Malcolm (T/A Praise 87.9)","PO Box 152
Grand Cayman KY1-1501",,,,"emalcolm@candw.ky","Everton Malcolm","18,10,27","2006-09-21 00:00:00","N","0000-00-00 00:00:00","Assigned to #24",,"14","38","2014-12-03 17:23:43","2017-10-27 06:19:43","N","Y","Listing of Mr Everton Malcolm (T/A Praise 87.9) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Mr Everton Malcolm (T/A Praise 87.9) which is located at PO Box 152
Grand Cayman KY1-1501","1","103.226.185.33"
"29","21","CaymanBuzz.com Ltd","PO Box 1365
Grand Cayman KY1-1108",,,,"brian@cfp.ky","Brian Uzzell, Managing Director","23","2006-11-23 00:00:00","N","0000-00-00 00:00:00","Not Renewed",,"7","22","2014-12-03 17:26:34","2017-10-27 06:11:10","N","Y","Listing of CaymanBuzz.com Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of CaymanBuzz.com Ltd which is located at PO Box 1365
Grand Cayman KY1-1108","1","103.226.185.33"
"30","22","Azure Seas Ltd","T/A CaribWebStar
PO Box 2586
Grand Cayman KY1-1103",,,,"info@caribwebstar.com","Roger Hanson","15,19,2,8,9,27","2007-03-22 00:00:00","N","0000-00-00 00:00:00","Surrendered 6 March 2008",,"6","23","2014-12-03 17:28:53","2017-10-27 06:11:15","N","Y","Listing of Azure Seas Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Azure Seas Ltd which is located at T/A CaribWebStar
PO Box 2586
Grand Cayman KY1-1103","1","103.226.185.33"
"31","23","Camana Bay Communications Ltd","PO Box 31363
Grand Cayman KY1-1206",,,,"dean_gaunt@dart.biz","Dean Gaunt","21,1,6","2007-08-02 00:00:00","N","0000-00-00 00:00:00","Surrendered 25 November 2010",,"6","24","2014-12-03 17:30:52","2017-10-27 06:11:21","N","Y","Listing of Camana Bay Communications Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Camana Bay Communications Ltd which is located at PO Box 31363
Grand Cayman KY1-1206","1","103.226.185.33"
"32","25","Blue Bison Communications Limited","PO Box 11890
Grand Cayman KY1-1010",,,,"info@bluebison.ky","Alva Suckoo, Director","15","2009-03-19 00:00:00","N","0000-00-00 00:00:00","Surrendered 19 August 2015",,"6","26","2014-12-03 17:32:58","2017-10-27 06:11:29","N","Y","Listing of Blue Bison Communications Limited - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Blue Bison Communications Limited which is located at PO Box 11890
Grand Cayman KY1-1010","1","103.226.185.33"
"33","R10","Cayman Broadcasting Ltd (Love FM)","PO Box 1336
Grand Cayman KY1-1108",,,,"joeltaylor28@yahoo.com","Joel Taylor, CEO","18,10,27","2009-08-13 00:00:00","N","0000-00-00 00:00:00","Surrendered 31 March 2015",,"6","39","2014-12-03 17:35:43","2017-10-27 06:19:47","N","Y","Listing of Cayman Broadcasting Ltd (Love FM) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Cayman Broadcasting Ltd (Love FM) which is located at PO Box 1336
Grand Cayman KY1-1108","1","103.226.185.33"
"34","R11","Interactive Broadcasting and Media Ltd","125 Eastern Ave
PO Box 1350
Grand Cayman KY1-1108","http://www.star927cayman.ky/",,,"john.watler@star927cayman.ky","John Watler, Director","18,10,27","2011-05-05 00:00:00","N","0000-00-00 00:00:00",,,"1","40","2014-12-03 17:38:58","2017-10-27 06:19:51","N","Y","Listing of Interactive Broadcasting and Media Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Interactive Broadcasting and Media Ltd which is located at 125 Eastern Ave
PO Box 1350
Grand Cayman KY1-1108","1","103.226.185.33"
"35","R12","Grace Broadcasting Ltd.","Big Fish 95.5
620 Marina Drive, Prospect
PO Box 1408
Grand Cayman KY1-1501","http://www.bigfishradio.ky",,,"pam@bigfish955.ky","Pamela Norton, Operations Manager","18,10,27","2011-10-06 00:00:00","N","0000-00-00 00:00:00",,,"1","41","2014-12-03 17:41:28","2017-10-27 06:19:56","N","Y","Listing of Grace Broadcasting Ltd. - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Grace Broadcasting Ltd. which is located at Big Fish 95.5
620 Marina Drive, Prospect
PO Box 1408
Grand Cayman KY1-1501","1","103.226.185.33"
"36","26","DataLink Limited","457 North Sound Road
PO Box 38
Grand Cayman KY1-1101",,,,"asmall@cuc.ky","Andrew Small, President & CEO","11,21,28,6","2012-03-28 00:00:00","N","0000-00-00 00:00:00",,,"1","27","2014-12-03 17:49:56","2017-10-27 06:11:33","N","Y","Listing of DataLink Limited - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of DataLink Limited which is located at 457 North Sound Road
PO Box 38
Grand Cayman KY1-1101","1","103.226.185.33"
"37","2","WestStar TV Limited (T/A Logic)","#45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205",,,,"rmcnabb@logic.ky","Rob McNabb, Chief Executive Officer","11,15,16,17,19,21,25,28,2,6,8,9,10,27","2003-10-10 00:00:00","N","0000-00-00 00:00:00",,,"1","3","2014-12-03 18:04:49","2017-10-27 06:09:19","N","Y","Listing of WestStar TV Limited (T/A Logic) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of WestStar TV Limited (T/A Logic) which is located at #45 Eclipse Way
PO Box 31112
Grand Cayman KY1-1205","1","103.226.185.33"
"38","3","Wireless Ventures (Cayman Islands) Ltd","(T/A Digicel)
PO Box 700
Grand Cayman KY1-1107",,,,"john.buckley@digicelgroup.com","John Buckley, CEO","13,19,22,3,4,7,9","2003-10-10 00:00:00","N","0000-00-00 00:00:00","Surrendered 1 March 2007",,"6","4","2014-12-03 18:12:30","2017-10-27 06:09:23","N","Y","Listing of Wireless Ventures (Cayman Islands) Ltd - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Wireless Ventures (Cayman Islands) Ltd which is located at (T/A Digicel)
PO Box 700
Grand Cayman KY1-1107","1","103.226.185.33"
"39","T1","Hurley's TV Ltd.","PO Box 30110
Grand Cayman KY1-1201",,,,,"Randy Merren","16,10,27","2015-07-24 00:00:00","N","0000-00-00 00:00:00",,,"16","43","2015-07-24 17:04:05","2019-09-26 11:35:12","N","Y","Listing of Hurley's TV Ltd. - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Hurley's TV Ltd. which is located at PO Box 30110
Grand Cayman KY1-1201","2","162.247.222.154"
"40","2569","TEST","TEST",,,,,"TEST","11","2015-10-19 00:00:00","N","0000-00-00 00:00:00",,,"1","1","2015-10-19 17:18:05","2015-10-19 17:19:10","Y","Y","TEST","TEST","TEST","2","173.192.46.6"
"41","P1","FM Broadcast Open Licence","Box 2502",,,,,"FM Broadcast Open Licence","18,10,27","2015-12-07 00:00:00","N","0000-00-00 00:00:00",,,"1","29","2015-12-07 14:45:08","2017-10-27 06:11:38","N","Y","Listing of FM Broadcast Open Licence - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of FM Broadcast Open Licence which is located at Box 2502","2","103.226.185.33"
"42","R13","Spread the Word International Ministries (T/A Voice 97.7)","58 Eclipse Drive Unit #4
Eastern Avenue
P.O. Box 12099
George Town
Grand Cayman
KY1-1010","http://www.thevoicefm.ky",,,"info@thevoicefm.ky","Dr. Joel Taylor (Director)","18,10,27","2017-04-21 00:00:00","N","0000-00-00 00:00:00",,,"1","42","2017-05-30 11:56:21","2017-10-27 06:20:00","N","Y","Listing of Spread the Word International Ministries (T/A Voice 97.7) - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Spread the Word International Ministries (T/A Voice 97.7) which is located at 58 Eclipse Drive Unit #4
Eastern Avenue
P.O. Box 12099
George Town
Grand Cayman
KY1-1010","2","103.226.185.33"
"43","E2","Empyrean Holdings (T/A 'Maxcom')","EMPYREAN HOLDINGS LTD
PO Box 31489, KY1-1206,
Whitehall Chambers
2nd Floor Whitehall House
238 North Church Street, 2nd Floor
George Town, Cayman Islands",,,,,"Duane McNab","11,13,19,2,26,27","2019-08-30 00:00:00","N","0000-00-00 00:00:00",,,"1","44","2019-09-24 11:41:10","2019-09-25 03:23:27","N","Y","Empyrean Holdings (T/A 'Maxcom')","Empyrean Holdings (T/A 'Maxcom')","This is the licence registration of Empyrean Holdings (T/A ‘Maxcom’) which is located at TBA","2","103.226.187.41"
"44","1","test66","test66","http://www.google.com",,,"v1.netclues@gmail.com","963258741","23","2020-02-25 00:00:00","N",NULL,"test66",,"1","1","2020-02-25 03:31:50","2020-02-25 03:32:03","Y","Y","test66","test66","test66","1","67.207.88.158"
"45","test","test by netclues","http://www.ggoel.com","http://www.ggoel.com","http://www.ggoel.com","http://www.ggoel.com","v6.netclues@gmail.com","test by netclues","14","2020-02-25 00:00:00","N",NULL,"test",,"1","1","2020-02-25 13:01:04","2020-02-25 13:02:22","Y","Y","test by netclues","test by netclues","test by netclues","1","67.207.88.158"
"46","E3","Future Digital","Strathvale House
90 North Church Street
George Town,
Grand Cayman,
Cayman Islands",,,,,"John Edge","31,32","2020-04-16 00:00:00","N","2020-07-03 09:45:23",,,"1","1","2020-07-03 09:27:18","2020-07-03 09:45:23","N","Y","Listing of Future Digital - OfReg, Cayman Islands","current status of licence registration, Cayman Islands registration of licence, licensed ICT service and network","This is the licence registration of Future Digital which is located at Strathvale House
90 North Church Street
George Town,
Grand Cayman,
Cayman Islands","1","27.54.170.98"
"47","27","Salt Internet Exchange Point Licence","117A Elgin Avenue
The Pavilion, Cricket Square
PO Box 230
Grand Cayman KY1-1106
Cayman Islands","http://www.salt.ky",,,,"Blair Lilford","38,37","2021-03-19 00:00:00","N","2021-03-25 08:12:26",,,"1","28","2021-03-25 08:10:48","2021-03-25 08:12:26","N","Y","Salt Internet Exchange Point Licence","Salt Internet Exchange Point Licence","This is the licence registration of Salt Internet Exchange Point Licence which is located at ","1","103.226.184.100"
