"intGlCode","Fk_Services","varCompanyId","varTitle","txtContact","varWeb1","varWeb2","varWeb3","varEmailId","varContactName","txtCurrentStatus","FK_Status","intDisplayOrder","dtCreateDate","dtModifyDate","chrDelete","chrPublish","varMetaTitle","varMetaKeyword","varMetaDescription","PUserGlCode","varIpAddress"
"13","16,17","11","Cayman International Television (Caribbean) Network Ltd.","P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","http://www.cayman27.com.ky",,,"citn@cayman27.com.ky","Colin Wilson","<p>included in Application #22</p>
","11","11","2014-12-04 09:56:39","2017-10-27 05:51:18","N","Y","Listing of Cayman International Television (Caribbean) Network Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman International Television (Caribbean) Network Ltd. which is located at P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"14","15,19,21,2,27","12","Weststar T.V. Limited.","P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","http://www.weststartv.net.ky",,,"weststar@candw.ky","Rod Hansen","<p>included in Application #22</p>
","11","12","2014-12-04 09:58:14","2017-10-27 05:51:24","N","Y","Listing of Weststar T.V. Limited. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Weststar T.V. Limited. which is located at P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"15","19,2,8,9,10,27","13","Weststar T.V. Limited.","P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","http://www.weststartv.net.ky",,,"weststar@candw.ky","Rod Hansen","<p>included in Application #22</p>
","11","13","2014-12-04 10:00:07","2017-10-27 05:51:29","N","Y","Listing of Weststar T.V. Limited. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Weststar T.V. Limited. which is located at P. O. Box 30563 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"16","13,14,4,7","14","Blue Sky Communications.","P. O. Box 32336 SMB
Grand Cayman
Cayman Islands",,,,"gene@thompson.com.ky","Gene Thompson",,"10","14","2014-12-04 10:01:13","2017-10-27 05:51:33","N","Y","Listing of Blue Sky Communications. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Blue Sky Communications. which is located at P. O. Box 32336 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"17","14,19,21,2,9,27","15","Network Enterprise Ltd.","P. O. Box 31825 SMB
Grand Cayman
Cayman Islands",,,,,"Wally Smith",,"13","15","2014-12-04 10:03:58","2017-10-27 05:51:38","N","Y","Listing of Network Enterprise Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Network Enterprise Ltd. which is located at P. O. Box 31825 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"18","11,13,14,15,19,21,22,23,24,1,2,4,6,7,9","16","Cayman Islands Telecommunications No. 1 Ltd","P. O. Box 30190 SMB
Grand Cayman
Cayman Islands","http://www.CiTelco.com",,,"Peterson@sitechonline.com","Howard Peterson",,"13","16","2014-12-04 10:06:25","2017-10-27 05:52:06","N","Y","Listing of Cayman Islands Telecommunications No. 1 Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman Islands Telecommunications No. 1 Ltd which is located at P. O. Box 30190 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"19","14","17","BBG Communications Inc","c/o Campbells, Attorney at law
Grand Cayman
Cayman Islands","http://www.bbgusa.com",,,,"Brendan Carr",,"13","17","2014-12-04 10:08:17","2017-10-27 05:52:14","N","Y","Listing of BBG Communications Inc - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of BBG Communications Inc which is located at c/o Campbells, Attorney at law
Grand Cayman
Cayman Islands","1","103.226.185.33"
"20","21,2,9,27","18","Aviation Communications (Avcom) Ltd","P. O. Box 10217 GT
Grand Cayman
Cayman Islands",,,,"avcomgcm@candw.ky","Errol Kellyman","<p>with amendments, under the name of United Telecommunication Services Ltd. See Application #38</p>
","8","18","2014-12-04 10:10:08","2017-10-27 05:52:18","N","Y","Listing of Aviation Communications (Avcom) Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Aviation Communications (Avcom) Ltd which is located at P. O. Box 10217 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"21","11,14,15,19,21,22,1,2,6,8,9,27","19","TeleCayman Limited","c/o Siobain Groom, Campbells, Attorneys
P.O. Box 884 GT
Grand Cayman",,,,"sgroom@campbells.com.ky","Douglas Cunningham",,"8","19","2014-12-04 10:12:12","2017-10-27 05:52:24","N","Y","Listing of TeleCayman Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of TeleCayman Limited which is located at c/o Siobain Groom, Campbells, Attorneys
P.O. Box 884 GT
Grand Cayman","1","103.226.185.33"
"22","19,2","20","Broadsplash KY Ltd","1900 68th St N. Suite 305
Saint Petersburg, FL 33710","http://www.broadsplash.com",,,"info@broadsplash.com","Elicia Ruilova",,"13","20","2014-12-04 10:15:49","2017-10-27 05:52:33","N","Y","Listing of Broadsplash KY Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Broadsplash KY Ltd which is located at 1900 68th St N. Suite 305
Saint Petersburg, FL 33710","1","103.226.185.33"
"23","11,13,14,15,19,21,22,23,24,1,2,3,4,5,6,7,9,27","21","Digicel Cayman Limited","c/o Myers & Alberga
P.O. Box 472 GT
Grand Cayman","http://www.digicelcayman.com","http://www.digicelcaymanislands.com","http://www.digicelci.com","Lisa.lewis@digiceljamaica.com","Lisa Lewis",,"8","21","2014-12-04 10:19:07","2017-10-27 05:52:38","N","Y","Listing of Digicel Cayman Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Digicel Cayman Limited which is located at c/o Myers & Alberga
P.O. Box 472 GT
Grand Cayman","1","103.226.185.33"
"24","15,16,17,19,2,8,9,10,27","22","Weststar TV Limited","PO Box 30563 SMB
45 Eclipse Drive
Television Centre
Grand Cayman","http://www.weststartv.net.ky",,,"rhansen@cayman27.com.ky","Rod Hansen, Chairman of the Board","<p>then amended on 12 Feb 04</p>
","8","22","2014-12-04 10:22:29","2017-10-27 05:52:46","N","Y","Listing of Weststar TV Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Weststar TV Limited which is located at PO Box 30563 SMB
45 Eclipse Drive
Television Centre
Grand Cayman","1","103.226.185.33"
"25","21","23","Island Electronics (Paging) Ltd.","PO Box 881 GT
90B Godfrey Nixon Way
GKF Industrial Park
Grand Cayman","http://www.ielgroup.com",,,"ghunter@ielgroup.com","George Hunter, President/Owner",,"8","23","2014-12-04 10:23:32","2017-10-27 05:52:53","N","Y","Listing of Island Electronics (Paging) Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Island Electronics (Paging) Ltd. which is located at PO Box 881 GT
90B Godfrey Nixon Way
GKF Industrial Park
Grand Cayman","1","103.226.185.33"
"26","18,10,27","24","Radio Cayman","PO Box 1110 GT
71C Elgin Ave.
Grand Cayman","http://www.radiocayman.gov.ky",,,"loxley.banks@gov.ky","Loxley Banks, Director of Broadcasting",,"8","24","2014-12-04 10:24:49","2017-10-27 05:53:01","N","Y","Listing of Radio Cayman - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Radio Cayman which is located at PO Box 1110 GT
71C Elgin Ave.
Grand Cayman","1","103.226.185.33"
"27","18,10,27","25","Hurley's Entertainment Corporation","(Z99 and Rooster 101)
PO Box 30110 SMB
375 Walkers Rd.
Grand Cayman","http://www.z99.ky",,,"info@hurleysgroup.com","Randy L. Merren President",,"8","25","2014-12-04 10:26:09","2017-10-27 05:53:08","N","Y","Listing of Hurley's Entertainment Corporation - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Hurley's Entertainment Corporation which is located at (Z99 and Rooster 101)
PO Box 30110 SMB
375 Walkers Rd.
Grand Cayman","1","103.226.185.33"
"28","18,10,27","26","Cerentis Broadcasting Systems Ltd","(Ocean 95)
PO Box 425 Sav.
Grand Cayman","http://www.oceanfm.ky",,,"gregg@oceanfm.ky","Gregg Anderson",,"8","26","2014-12-04 10:27:56","2017-10-27 05:53:37","N","Y","Listing of Cerentis Broadcasting Systems Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cerentis Broadcasting Systems Ltd which is located at (Ocean 95)
PO Box 425 Sav.
Grand Cayman","1","103.226.185.33"
"29","18,10,27","27","Christian Communications Association","(Heaven 97 & Gospel 88.7)
PO Box 31481 SMB
GKF Industrial Park
Godfrey Nixon Way
Grand Cayman","http://www.heaven97.com",,,"jesus1st@candw.ky","Stephen Faucette",,"8","27","2014-12-04 10:29:53","2017-10-27 05:53:43","N","Y","Listing of Christian Communications Association - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Christian Communications Association which is located at (Heaven 97 & Gospel 88.7)
PO Box 31481 SMB
GKF Industrial Park
Godfrey Nixon Way
Grand Cayman","1","103.226.185.33"
"30","18,10,27","28","International College of The Cayman Islands","PO Box 136 Sav.
595 Hirst Rd.
Grand Cayman","http://www.icci.edu.ky",,,"ecummings@icci.edu.ky","Dr. Elsa M. Cummings",,"8","28","2014-12-04 10:32:24","2017-10-27 05:53:50","N","Y","Listing of International College of The Cayman Islands - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of International College of The Cayman Islands which is located at PO Box 136 Sav.
595 Hirst Rd.
Grand Cayman","1","103.226.185.33"
"31","18,10,27","29","Paramount Media Services Limited","(Vibe FM)
PO Box 10236 APO
J D Building
Fort Street
Grand Cayman","http://www.vibefm.ky",,,"kenny@vibefm.ky","Kenneth G. Rankine",,"8","29","2014-12-04 10:37:33","2017-10-27 05:53:58","N","Y","Listing of Paramount Media Services Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Paramount Media Services Limited which is located at (Vibe FM)
PO Box 10236 APO
J D Building
Fort Street
Grand Cayman","1","103.226.185.33"
"32","21,1,6","30","DataLink Ltd","(A subsidiary of CUC)
PO Box 38 GT
457 North Sound Road
Grand Cayman",,,,"asmall@cuc.ky","Andrew Small, President/COO",,"8","30","2014-12-04 10:38:50","2017-10-27 05:54:06","N","Y","Listing of DataLink Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of DataLink Ltd which is located at (A subsidiary of CUC)
PO Box 38 GT
457 North Sound Road
Grand Cayman","1","103.226.185.33"
"33","21","31","Caycom Ltd","PO Box 30800 SMB
Grand Cayman",,,,"briggs-k@candw.ky","Katherine Briggs",,"8","31","2014-12-04 10:39:42","2017-10-27 05:54:13","N","Y","Listing of Caycom Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Caycom Ltd which is located at PO Box 30800 SMB
Grand Cayman","1","103.226.185.33"
"34","15,19,2,27","32","WestTel Limited","PO Box 30563 SMB
45 Eclipse Drive
Television Centre
Grand Cayman","http://www.weststartv.net.ky",,,"rhansen@cayman27.com.ky","Rod Hansen, Chairman of the Board","<p>Partial assignment of WestStar Licence #22</p>
","8","32","2014-12-04 10:41:17","2017-10-27 05:54:19","N","Y","Listing of WestTel Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of WestTel Limited which is located at PO Box 30563 SMB
45 Eclipse Drive
Television Centre
Grand Cayman","1","103.226.185.33"
"35","11,13,14,15,19,21,22,24,2,5,6,7,9,27","33","E Technologies Limited (T/A CaymanOne)","#16-76 Tampines St 71
Bk 706
Singapore 520760","http://www.caymanone.com",,,"emacinnes@etechonline.com","Euan D MacInnes, CEO",,"8","33","2014-12-04 10:43:08","2017-10-27 05:54:25","N","Y","Listing of E Technologies Limited (T/A CaymanOne) - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of E Technologies Limited (T/A CaymanOne) which is located at #16-76 Tampines St 71
Bk 706
Singapore 520760","1","103.226.185.33"
"36","15,16,17,19,1,6,9,27","34","Infinity Broadband Limited","PO Box 30110
Grand Cayman
Cayman Islands
KY1-1201","http://www.c3.ky",,,"randymerren@c3.ky","Randy Merren, Managing Director",,"8","34","2014-12-04 10:44:40","2017-10-27 05:54:34","N","Y","Listing of Infinity Broadband Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Infinity Broadband Limited which is located at PO Box 30110
Grand Cayman
Cayman Islands
KY1-1201","1","103.226.185.33"
"37","18,10,27","35","Panorama Productions Ltd (Style Radio)","PO Box 192 GT
Grand Cayman
Cayman Islands",,,,"martins@candw.ky","David Martins",,"8","35","2014-12-04 10:46:12","2017-10-27 05:54:39","N","Y","Listing of Panorama Productions Ltd (Style Radio) - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Panorama Productions Ltd (Style Radio) which is located at PO Box 192 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"38","18,10,27","37","dms Broadcasting Ltd","PO Box 31910 SMB
Grand Cayman
Cayman Islands","http://www.dms.com.ky",,,"swilcox@dms.com.ky","Shannon Wilcox",,"8","37","2014-12-04 10:47:27","2017-10-27 05:55:30","N","Y","Listing of dms Broadcasting Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of dms Broadcasting Ltd which is located at PO Box 31910 SMB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"39","16,10,27","36","Cayman Islands Mission","PO Box 515 GT
Grand Cayman
Cayman Islands","http://www.tagnet.org/cayman",,,"mission@candw.ky","Jeffrey Thompson","<p>as Cayman Adventist TV Network</p>
","8","36","2014-12-04 10:49:15","2017-10-27 05:55:17","N","Y","Listing of Cayman Islands Mission - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman Islands Mission which is located at PO Box 515 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"40","13,5,27","38","United Telecommunications Services Ltd (UNITEL)","P. O. Box 10217 GT
Grand Cayman
Cayman Islands",,,,"avcomgcm@candw.ky","Errol Kellyman",,"8","38","2014-12-04 10:50:52","2017-10-27 05:55:41","N","Y","Listing of United Telecommunications Services Ltd (UNITEL) - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of United Telecommunications Services Ltd (UNITEL) which is located at P. O. Box 10217 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"41","18,10,27","39","WestPoint Radio & Family Chapel Ltd","PO Box 349 WB
Grand Cayman
Cayman Islands",,,,"locksley.gould@gov.ky","Locksley Gould",,"12","39","2014-12-04 10:53:30","2017-10-27 05:55:47","N","Y","Listing of WestPoint Radio & Family Chapel Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of WestPoint Radio & Family Chapel Ltd which is located at PO Box 349 WB
Grand Cayman
Cayman Islands","1","103.226.185.33"
"42","13,14,15,19,21,22,24,2,4,9,27","40","EOCG Cayman Limited","E. Oliver Capital Group Cayman Limited
c/o Ogier & Boxalls
PO Box 1234 GT
Grand Cayman
Cayman Islands",,,,"garmente@gruposaber.com","Gilbert Armenta, President and CEO",,"11","40","2014-12-04 10:57:02","2017-10-27 05:55:54","N","Y","Listing of EOCG Cayman Limited - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of EOCG Cayman Limited which is located at E. Oliver Capital Group Cayman Limited
c/o Ogier & Boxalls
PO Box 1234 GT
Grand Cayman
Cayman Islands","1","103.226.185.33"
"43","16,17,2,6,27","41","Cayman Islands National Television & Broadcasting Networks Ltd","PO Box 10707 APO
Grand Cayman
Cayman Islands","http://www.caymannetnews.com","http://www.caribbeannetnews.com",,"barrie@caymannetnews.com","Barrie Hobbs","<p>Submitted</p>
","8","41","2014-12-04 10:58:38","2017-10-27 05:55:59","N","Y","Listing of Cayman Islands National Television & Broadcasting Networks Ltd - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman Islands National Television & Broadcasting Networks Ltd which is located at PO Box 10707 APO
Grand Cayman
Cayman Islands","1","103.226.185.33"
"44","15,19,2,8,9,27","42","Azure Seas Ltd (T/A CaribWebStar)","PO Box 2586
Grand Cayman KY1-1103
Cayman Islands","http://www.caribwebstar.com",,,"info@caribwebstar.com","Roger Hanson","<p>(6 March 2008)</p>
","10","42","2014-12-04 11:00:08","2017-10-27 05:56:05","N","Y","Listing of Azure Seas Ltd (T/A CaribWebStar) - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Azure Seas Ltd (T/A CaribWebStar) which is located at PO Box 2586
Grand Cayman KY1-1103
Cayman Islands","1","103.226.185.33"
"45","23","43","Caymanbuzz.com","P. O. Box 1365
Grand Cayman KY1-1108
Cayman Islands",,,,"brian@cfp.ky","Brian Uzzell, Managing Director","<p>(Expired - not renewed)</p>
","10","43","2014-12-04 11:01:57","2017-10-27 05:56:11","N","Y","Listing of Caymanbuzz.com - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Caymanbuzz.com which is located at P. O. Box 1365
Grand Cayman KY1-1108
Cayman Islands","1","103.226.185.33"
"46","13,19,22,24,25,2,5,27","44","EOCG Wireless (Cayman) Ltd.","P. O. Box 1234
Grand Cayman KY1-1108
Cayman Islands",,,,"dcook@eocg.net","Gilbert Armenta, President","<p>19 Jul 07</p>
","13","44","2014-12-04 11:25:24","2017-10-27 05:56:18","N","Y","Listing of EOCG Wireless (Cayman) Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of EOCG Wireless (Cayman) Ltd. which is located at P. O. Box 1234
Grand Cayman KY1-1108
Cayman Islands","1","103.226.185.33"
"47","11,15,19,21,24,1,6","45","Camana Bay Communications Ltd.","P. O. Box 31363
Grand Cayman KY1-1206
Cayman Islands",,,,"dean_gaunt@dart.biz","Dean Gaunt","<p>See revised application #46</p>
","13","45","2014-12-04 11:26:42","2017-10-27 05:56:25","N","Y","Listing of Camana Bay Communications Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Camana Bay Communications Ltd. which is located at P. O. Box 31363
Grand Cayman KY1-1206
Cayman Islands","1","103.226.185.33"
"48","21,1,6","46","Camana Bay Communications Ltd.","P. O. Box 31363
Grand Cayman KY1-1206
Cayman Islands",,,,"dean_gaunt@dart.biz","Dean Gaunt","<p>(25 November 2010)</p>
","10","46","2014-12-04 11:28:23","2017-10-27 05:56:31","N","Y","Listing of Camana Bay Communications Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Camana Bay Communications Ltd. which is located at P. O. Box 31363
Grand Cayman KY1-1206
Cayman Islands","1","103.226.185.33"
"49","18,10","47","Cayman Broadcasting Ltd.","P. O. Box 1336
Grand Cayman KY1-1108
Cayman Islands",,,,"joeltaylor28@yahoo.com","Joel Taylor and Anthony Tompson",,"10","47","2014-12-04 11:29:34","2021-03-16 04:32:49","N","Y","Listing of Cayman Broadcasting Ltd. - OfReg, Cayman Islands","current status of licensing application, Cayman Islands application for licence, licensed ICT service and network","This is the application of Cayman Broadcasting Ltd. which is located at P. O. Box 1336
Grand Cayman KY1-1108
Cayman Islands","1","103.226.184.100"
"50","23","6","test66","test66","http://www.google.com",,,"v1.netclues@gmail.com","852369741","<p>test66</p>
","8","1","2020-02-25 03:33:56","2020-02-25 03:34:11","Y","Y","test66","test66","test66","1","67.207.88.158"
"51","19,2","48","Internet Mobile Technologies","#2 Grand Plaza
PO Box 187
Grand Cayman KY1-1301
Cayman Islands","http://www.imtechcayman.com",,,,"Vincent Ebanks",,"13","48","2021-03-18 17:40:39","2021-03-18 17:45:58","N","Y","Internet Mobile Technologies","Internet Mobile Technologies","Internet Mobile Technologies","1","103.226.184.100"
"52","19,14,13,22,26,27,2","49","Cobalt Cayman Ltd","1st Floor DMS House
20 Genesis Place
PO Box 1103
Grand Cayman KY1-1102
Cayman Islands",,,,,"Paul Moore",,"13","49","2021-03-18 17:48:52","2021-03-18 17:48:52","N","Y","Cobalt Cayman Ltd","Cobalt Cayman Ltd","Cobalt Cayman Ltd","1","103.226.184.100"
"53","18,10","50","Malcolm Group","PO Box 152 
Grand Cayman KY1-1501
Cayman Islands","http://www.malcolmsgroup.ky",,,,"Everton Malcolm",,"11","50","2021-03-18 17:58:51","2021-03-18 17:59:26","N","Y","Malcolm Group","Malcolm Group","Malcolm Group","1","103.226.184.100"
"54","2","51","SALT Wireless Ltd","PO Box 230
Grand Cayman KY1-1106
117A Elgin Avenue
The Pavilion, Cricket Square
Cayman Islands","http://www.salt.ky",,,,"Blair Lilford",,"12","51","2021-03-18 18:03:10","2021-03-18 18:03:10","N","Y","SALT Wireless Ltd","SALT Wireless Ltd","SALT Wireless Ltd","1","103.226.184.100"
"55","35,33,34","52","Empyrean Holdings dba Maxcom","Mall MegaPlaza
Local R3, contiguo a Payless
Roatan, Islas de la Bahia
Hundoras",,,,,"Duane McNabb","<p>Now Expired Experimental</p>
","8","52","2021-03-18 19:21:31","2021-03-19 04:54:46","N","Y","Empyrean Holdings dba Maxcom","Empyrean Holdings dba Maxcom","Empyrean Holdings dba Maxcom","1","103.226.184.100"
